keys,en,ru
" · Цикл %d"," · Cycle %d"," · Цикл %d"
"%s · Магазин после боя %d%s","%s · Shop after battle %d%s","%s · Магазин после боя %d%s"
"%s · Босс %d/10%s","%s · Boss %d/10%s","%s · Босс %d/10%s"
"%s · Бой %d/10%s","%s · Battle %d/10%s","%s · Бой %d/10%s"
"Забег завершён","Run ended","Забег завершён"
"Бой %s · %s","Battle %s · %s","Бой %s · %s"
"Монеты: %s","Coins: %s","Монеты: %s"
"Уровень %s · Опыт %s / %s","Level %s · XP %s / %s","Уровень %s · Опыт %s / %s"
"Намерение: %s","Intent: %s","Намерение: %s"
"Следующий ход: %s","Next turn: %s","Следующий ход: %s"
"Слабость: %s","Weakness: %s","Слабость: %s"
"Сопротивление: %s","Resistance: %s","Сопротивление: %s"
"Ход %d · каскадов: %d%s","Turn %d · cascades: %d%s","Ход %d · каскадов: %d%s"
" · ⚔%d ✦%d ♥%d ◉%d%s"," · ⚔%d ✦%d ♥%d ◉%d%s"," · ⚔%d ✦%d ♥%d ◉%d%s"
" · поле перемешано"," · board shuffled"," · поле перемешано"
" · ПОБЕДА"," · VICTORY"," · ПОБЕДА"
" · ПОРАЖЕНИЕ"," · DEFEAT"," · ПОРАЖЕНИЕ"
"Недопустимый ход","Invalid move","Недопустимый ход"
"+%d монет","+%d coins","+%d монет"
"+%d опыта · +%d монет","+%d XP · +%d coins","+%d опыта · +%d монет"
"ЗЕРКАЛЬНЫЙ ОСКОЛОК · ЗАДЕРЖАНО","MIRROR SHARD · DELAYED","ЗЕРКАЛЬНЫЙ ОСКОЛОК · ЗАДЕРЖАНО"
"%s: %s","%s: %s","%s: %s"
"Атака","Attack","Атака"
"Особое действие","Special action","Особое действие"
"Подготовка","Prepare","Подготовка"
"меч","sword","меч"
"магия","magic","магия"
"нет","none","нет"
"Редкая","Rare","Редкая"
"Обычная","Common","Обычная"
"%s\n%s\n%s монет%s","%s\n%s\n%s coins%s","%s\n%s\n%s монет%s"
"\nКУПЛЕНО","\nSOLD","\nКУПЛЕНО"
"Обновить · %s","Refresh · %s","Обновить · %s"
"Малое лечение","Minor healing","Малое лечение"
"+25 HP","+25 HP","+25 HP"
"Полное лечение","Full healing","Полное лечение"
"Восстановить полное HP","Restore full HP","Восстановить полное HP"
"Укрепление","Fortification","Укрепление"
"Max HP +15 и лечение на 15","Max HP +15 and heal 15","Max HP +15 и лечение на 15"
"Усиление меча","Sword boost","Усиление меча"
"Сила меча +12%","Sword power +12%","Сила меча +12%"
"Усиление магии","Magic boost","Усиление магии"
"Сила магии +12%","Magic power +12%","Сила магии +12%"
"Усиление лечения","Healing boost","Усиление лечения"
"Сила лечения +15%","Healing power +15%","Сила лечения +15%"
"Реликвии собраны","Relics collected","Реликвии собраны"
"Нет новых реликвий","No new relics","Нет новых реликвий"
"Закалённый клинок","Tempered Blade","Закалённый клинок"
"Сила меча +15%","Sword power +15%","Сила меча +15%"
"Фокус мага","Mage Focus","Фокус мага"
"Сила магии +15%","Magic power +15%","Сила магии +15%"
"Живительная кровь","Vital Blood","Живительная кровь"
"Сила лечения +18%","Healing power +18%","Сила лечения +18%"
"Выносливость","Endurance","Выносливость"
"Максимальное HP +12 и лечение на 12","Max HP +12 and heal 12","Максимальное HP +12 и лечение на 12"
"Охотник за сокровищами","Treasure Hunter","Охотник за сокровищами"
"Монеты +20%","Coins +20%","Монеты +20%"
"Комбо-мастер","Combo Master","Комбо-мастер"
"Каскады после первого +0,10","Cascades after the first +0.10","Каскады после первого +0,10"
"Последний шанс","Last Chance","Последний шанс"
"Смертельный удар один раз оставляет 1 HP","One lethal hit leaves 1 HP","Смертельный удар один раз оставляет 1 HP"
"Эксперт слабостей","Weakness Expert","Эксперт слабостей"
"Бонус слабости становится ×1,70","Weakness bonus becomes ×1.70","Бонус слабости становится ×1,70"
"Рубиновый эфес","Ruby Hilt","Рубиновый эфес"
"Первая комбинация мечей в бою ×1,5","First sword match in battle ×1.5","Первая комбинация мечей в бою ×1,5"
"Сапфировая линза","Sapphire Lens","Сапфировая линза"
"Первая комбинация магии в бою ×1,5","First magic match in battle ×1.5","Первая комбинация магии в бою ×1,5"
"Фляга лекаря","Healer's Flask","Фляга лекаря"
"После победы восстановить 5% max HP","Restore 5% max HP after victory","После победы восстановить 5% max HP"
"Молот старателя","Prospector's Hammer","Молот старателя"
"Комбинации 4+ дают ещё 2 монеты","Matches of 4+ grant 2 more coins","Комбинации 4+ дают ещё 2 монеты"
"Зеркальный осколок","Mirror Shard","Зеркальный осколок"
"Первый спецприём босса задержан на ход","Delay the boss's first special by one turn","Первый спецприём босса задержан на ход"
"Клевер каскада","Cascade Clover","Клевер каскада"
"Каскады начинаются с ×1,10","Cascades start at ×1.10","Каскады начинаются с ×1,10"
"Боец","Fighter","Боец"
"Лекарь","Healer","Лекарь"
"Проклинатель","Hexer","Проклинатель"
"Берсерк","Berserker","Берсерк"
"Щитоносец","Shieldbearer","Щитоносец"
"Босс","Boss","Босс"
"Страж корней","Root Guard","Страж корней"
"Мшистый знахарь","Moss Shaman","Мшистый знахарь"
"Плющевый проклинатель","Ivy Hexer","Плющевый проклинатель"
"Одичавший камнекол","Feral Stonebreaker","Одичавший камнекол"
"Страж мшистого щита","Moss Shield Guard","Страж мшистого щита"
"Клинок зарослей","Thicket Blade","Клинок зарослей"
"Хранитель живого мха","Living Moss Keeper","Хранитель живого мха"
"Шепчущий корням","Root Whisperer","Шепчущий корням"
"Яростный древень","Raging Treant","Яростный древень"
"Реликтовый часовой","Relic Sentinel","Реликтовый часовой"
"Каменный страж","Stone Guardian","Каменный страж"
"Шахтный налётчик","Mine Raider","Шахтный налётчик"
"Угольный лекарь","Coal Healer","Угольный лекарь"
"Пепельная ведьма","Ash Witch","Пепельная ведьма"
"Обожжённый берсерк","Scorched Berserker","Обожжённый берсерк"
"Латунный щитоносец","Brass Shieldbearer","Латунный щитоносец"
"Рубака плавильни","Smelter Cleaver","Рубака плавильни"
"Смотритель горна","Furnace Keeper","Смотритель горна"
"Заклинатель шлака","Slag Hexer","Заклинатель шлака"
"Магмовый яростник","Magma Rager","Магмовый яростник"
"Стальной надзиратель","Steel Overseer","Стальной надзиратель"
"Огненный голем","Fire Golem","Огненный голем"
"Безмолвный клинок","Silent Blade","Безмолвный клинок"
"Астральный целитель","Astral Healer","Астральный целитель"
"Писец пустоты","Void Scribe","Писец пустоты"
"Сорвавшийся адепт","Unbound Adept","Сорвавшийся адепт"
"Страж зеркальной печати","Mirror Seal Guard","Страж зеркальной печати"
"Дуэлянт тишины","Duelist of Silence","Дуэлянт тишины"
"Хранитель эфира","Aether Keeper","Хранитель эфира"
"Геометр бездны","Abyss Geometer","Геометр бездны"
"Искажённый яростник","Warped Rager","Искажённый яростник"
"Часовой немой башни","Silent Tower Sentinel","Часовой немой башни"
"Архимаг пустоты","Void Archmage","Архимаг пустоты"
"Усиленная атака","Empowered attack","Усиленная атака"
"Проклятие: пустой камень","Curse: empty stone","Проклятие: пустой камень"
"Щит против последней атаки","Shield against last attack","Щит против последней атаки"
"Корни: пустые камни","Roots: empty stones","Корни: пустые камни"
"Древний заслон","Ancient barrier","Древний заслон"
"Подготовка: Каменный обвал","Prepare: Stone Collapse","Подготовка: Каменный обвал"
"Зола: пустой камень","Ash: empty stone","Зола: пустой камень"
"Латунный заслон","Brass barrier","Латунный заслон"
"Шлак: пустые камни","Slag: empty stones","Шлак: пустые камни"
"Стальная оборона","Steel defense","Стальная оборона"
"Огненный удар · 2 сердца в камень","Fire strike · 2 hearts to stone","Огненный удар · 2 сердца в камень"
"Пустота: пустой камень","Void: empty stone","Пустота: пустой камень"
"Зеркальная защита","Mirror defense","Зеркальная защита"
"Разлом: пустые камни","Rift: empty stones","Разлом: пустые камни"
"Печать молчания","Seal of silence","Печать молчания"
"Магия пустоты","Void magic","Магия пустоты"
"Сдвиг: поворот поля","Shift: rotate board","Сдвиг: поворот поля"
"Смена слабости и сопротивления","Swap weakness and resistance","Смена слабости и сопротивления"
